square,price
10©W,¬ù201¸U¤¸
13©W,¬ù261¸U¤¸
16©W,¬ù322¸U¤¸
19©W,¬ù382¸U¤¸
22©W,¬ù443¸U¤¸
25©W,¬ù503¸U¤¸
28©W,¬ù563¸U¤¸
31©W,¬ù624¸U¤¸
34©W,¬ù684¸U¤¸
37©W,¬ù745¸U¤¸
40©W,¬ù805¸U¤¸
43©W,¬ù865¸U¤¸
46©W,¬ù926¸U¤¸
49©W,¬ù986¸U¤¸
52©W,"¬ù1,047¸U¤¸"
55©W,"¬ù1,107¸U¤¸"
58©W,"¬ù1,168¸U¤¸"
61©W,"¬ù1,228¸U¤¸"
64©W,"¬ù1,288¸U¤¸"
67©W,"¬ù1,349¸U¤¸"
70©W,"¬ù1,409¸U¤¸"
73©W,"¬ù1,470¸U¤¸"
76©W,"¬ù1,530¸U¤¸"
79©W,"¬ù1,591¸U¤¸"
82©W,"¬ù1,651¸U¤¸"
85©W,"¬ù1,711¸U¤¸"
88©W,"¬ù1,772¸U¤¸"
91©W,"¬ù1,832¸U¤¸"
94©W,"¬ù1,893¸U¤¸"
97©W,"¬ù1,953¸U¤¸"
100©W,"¬ù2,014¸U¤¸"
